                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5385,                 3.7159,                 1.2701,                0.01482,                 0.5862,                0.14549,                0.07949,                 1.5164,                 3.6598,                 1.1963,             0.00028179,             0.00028179,             0.00028179
                      2,                   1.57,                 2.5011,                 1.2546,                 0.5144,                 0.1484,                0.26599,                0.15123,                 1.5975,                 2.9819,                 1.3181,             0.00057078,             0.00057078,             0.00057078
                      3,                 1.5752,                 2.1156,                 1.2608,                0.34267,                 0.3151,                0.28592,                0.14067,                 1.6707,                 2.4441,                 1.3472,             0.00085785,             0.00085785,             0.00085785
                      4,                 1.5574,                  1.968,                 1.2556,                0.37625,                0.38244,                0.31326,                   0.16,                 1.7335,                 2.4053,                 1.3958,                 0.0009,                 0.0009,                 0.0009
                      5,                 1.5074,                 1.8226,                 1.2285,                0.40873,                0.42819,                 0.3786,                0.21766,                 1.6543,                 2.1642,                 1.3584,                 0.0009,                 0.0009,                 0.0009
                      6,                 1.5227,                 1.7051,                 1.2399,                0.52208,                0.45137,                0.48252,                0.26398,                 1.6049,                 1.8753,                 1.3118,               0.000897,               0.000897,               0.000897
                      7,                 1.5047,                 1.6863,                 1.2219,                0.58802,                0.46036,                0.48138,                0.24961,                 1.6395,                 1.8676,                 1.3453,               0.000894,               0.000894,               0.000894
                      8,                 1.4912,                  1.565,                 1.2142,                0.55095,                0.58273,                0.58966,                0.33102,                 1.5996,                 1.6018,                 1.3126,               0.000891,               0.000891,               0.000891
                      9,                 1.4427,                 1.5462,                 1.1975,                0.64562,                0.49611,                0.53188,                0.28907,                 1.5991,                 1.8376,                 1.3416,               0.000888,               0.000888,               0.000888
                     10,                 1.4354,                 1.4858,                 1.2035,                0.62509,                0.55609,                0.56918,                0.32945,                 1.5794,                 1.6465,                 1.3116,               0.000885,               0.000885,               0.000885
